Source Name	ID	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[sex]
M KO 287	X9_S8	ERS5383221	SAMEA7624934	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 287	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 287	sequencing assay	ERX4742171	9_S8_R1_001.fastq.gz	9_S8_R1_001.fastq.gz	ERR4873309	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/009/ERR4873309/ERR4873309.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
F WT 242	X18_S14	ERS5383222	SAMEA7624935	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 242	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 242	sequencing assay	ERX4742172	18_S14_R1_001.fastq.gz	18_S14_R1_001.fastq.gz	ERR4873310	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/000/ERR4873310/ERR4873310.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
F WT 244	X28_S20	ERS5383223	SAMEA7624936	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 244	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 244	sequencing assay	ERX4742173	28_S20_R1_001.fastq.gz	28_S20_R1_001.fastq.gz	ERR4873311	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/001/ERR4873311/ERR4873311.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
F WT 252	X22_S16	ERS5383224	SAMEA7624937	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 252	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 252	sequencing assay	ERX4742174	22_S16_R1_001.fastq.gz	22_S16_R1_001.fastq.gz	ERR4873312	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/002/ERR4873312/ERR4873312.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
F WT 263	X26_S19	ERS5383225	SAMEA7624938	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 263	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 263	sequencing assay	ERX4742175	26_S19_R1_001.fastq.gz	26_S19_R1_001.fastq.gz	ERR4873313	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/003/ERR4873313/ERR4873313.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
F WT 269	X17_S13	ERS5383226	SAMEA7624939	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 269	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 269	sequencing assay	ERX4742176	17_S13_R1_001.fastq.gz	17_S13_R1_001.fastq.gz	ERR4873314	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/004/ERR4873314/ERR4873314.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
F WT 283	X24_S18	ERS5383227	SAMEA7624940	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F WT 283	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F WT 283	sequencing assay	ERX4742177	24_S18_R1_001.fastq.gz	24_S18_R1_001.fastq.gz	ERR4873315	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/005/ERR4873315/ERR4873315.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	female
M WT 240	X7_S6	ERS5383228	SAMEA7624941	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 240	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 240	sequencing assay	ERX4742178	7_S6_R1_001.fastq.gz	7_S6_R1_001.fastq.gz	ERR4873316	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/006/ERR4873316/ERR4873316.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
M WT 246	X11_S9	ERS5383229	SAMEA7624942	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 246	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 246	sequencing assay	ERX4742179	11_S9_R1_001.fastq.gz	11_S9_R1_001.fastq.gz	ERR4873317	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/007/ERR4873317/ERR4873317.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
M WT 255	X12_S10	ERS5383230	SAMEA7624943	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 255	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 255	sequencing assay	ERX4742180	12_S10_R1_001.fastq.gz	12_S10_R1_001.fastq.gz	ERR4873318	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/008/ERR4873318/ERR4873318.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
M WT 256	X16_S12	ERS5383231	SAMEA7624944	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 256	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 256	sequencing assay	ERX4742181	16_S12_R1_001.fastq.gz	16_S12_R1_001.fastq.gz	ERR4873319	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/009/ERR4873319/ERR4873319.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
M WT 258	X8_S7	ERS5383232	SAMEA7624945	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 258	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 258	sequencing assay	ERX4742182	8_S7_R1_001.fastq.gz	8_S7_R1_001.fastq.gz	ERR4873320	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/000/ERR4873320/ERR4873320.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
M WT 279	X2_S2	ERS5383233	SAMEA7624946	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	wild type genotype	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M WT 279	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M WT 279	sequencing assay	ERX4742183	2_S2_R1_001.fastq.gz	2_S2_R1_001.fastq.gz	ERR4873321	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/001/ERR4873321/ERR4873321.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	wild type genotype	male
